State,GEOID,County,FFR09,FFR14,PCH_FFR_09_14,FFRPTH09,FFRPTH14,Percent_Change_FFR_2009_2014,Poverty_rate_15,PCT_NHWHITE10,PCT_NHBLACK10,PCT_65OLDER10,PCH_RECFACPTH_09_14,PCT_OBESE_ADULTS13,PCT_DIABETES_ADULTS13,State_name,NAME
AL,01055,Etowah,82,79,-3.658536585,0.786653748,0.763056476,-2.999702457,19,79.27702767,15.04931533,15.80771809,0.683853145,35.1,16.8,Alabama,"Etowah County, Alabama"
AL,01057,Fayette,12,9,-25,0.693240901,0.53336494,-23.06210738,20.4,86.0274926,11.35664985,17.88759353,0,33.7,15.1,Alabama,"Fayette County, Alabama"
AL,01059,Franklin,22,18,-18.18181818,0.696444965,0.569602228,-18.21288739,21.1,79.63979309,3.819707292,15.21889982,-0.037973,33.2,13.9,Alabama,"Franklin County, Alabama"
AL,01061,Geneva,10,10,0,0.375192286,0.374363582,-0.220874513,22.4,84.70324748,9.417693169,17.44680851,0,34.1,13.9,Alabama,"Geneva County, Alabama"
AL,01063,Greene,1,1,0,0.108908734,0.11691804,7.354144745,37.7,17.26920951,81.24930901,16.07517966,0,46.3,21,Alabama,"Greene County, Alabama"
AL,01065,Hale,5,7,40,0.31201248,0.461011591,47.75421496,28.5,39.42258883,58.78807107,15.03807107,,40.4,16,Alabama,"Hale County, Alabama"
AL,01067,Henry,10,10,0,0.579945485,0.581733566,0.30831879,17,67.80141024,28.40712056,17.59334181,-100,35.8,18.7,Alabama,"Henry County, Alabama"
AL,01069,Houston,83,97,16.86746988,0.825870647,0.930964652,12.725238,18.3,68.66869528,25.64132865,14.45143628,12.53155202,32.8,13.7,Alabama,"Houston County, Alabama"
AL,01071,Jackson,30,29,-3.333333333,0.561156731,0.550650337,-1.872274439,18.4,90.06143499,3.327258722,16.48223646,-100,32,14.9,Alabama,"Jackson County, Alabama"
AL,01073,Jefferson,578,642,11.07266436,0.877831119,0.971559929,10.67731679,18,51.66751207,41.84134033,13.12793675,-5.742101597,33.2,13,Alabama,"Jefferson County, Alabama"
AL,01075,Lamar,7,6,-14.28571429,0.476547076,0.425954849,-10.61641752,24.7,86.11645152,11.22631145,18.75858281,0,33.6,14.9,Alabama,"Lamar County, Alabama"
AL,01077,Lauderdale,61,72,18.03278689,0.65927415,0.773395205,17.31010612,17.3,85.4588012,9.912737706,16.77614903,27.78422274,32.9,14.2,Alabama,"Lauderdale County, Alabama"
AL,01079,Lawrence,25,16,-36,0.728544368,0.477940078,-34.39794486,18.7,76.93875768,11.40685518,14.55779143,105.0064223,35.5,15.6,Alabama,"Lawrence County, Alabama"
AL,01081,Lee,108,128,18.51851852,0.779411977,0.82979482,6.464212097,21,69.80541473,22.58444031,9.06686061,-10.17082104,29,9.5,Alabama,"Lee County, Alabama"
AL,01083,Limestone,45,51,13.33333333,0.553328579,0.561754436,1.522758398,14.3,78.65478002,12.50271798,12.30581527,34.3683567,32.9,12.6,Alabama,"Limestone County, Alabama"
AL,01085,Lowndes,2,0,-100,0.174125022,0,-100,35.2,25.14381804,73.30737233,14.64731392,8.563327032,45.1,23.5,Alabama,"Lowndes County, Alabama"
AL,01087,Macon,10,9,-10,0.471920717,0.463320463,-1.822393822,32.2,15.22934924,82.18814097,14.12921872,0,44.7,18.4,Alabama,"Macon County, Alabama"
AL,01089,Madison,300,330,10,0.906738883,0.942052361,3.894558648,13.3,66.14030005,23.74981706,12.2077829,-7.439393204,32.3,11.5,Alabama,"Madison County, Alabama"
AL,01091,Marengo,16,19,18.75,0.75578649,0.94480358,25.00932372,23.3,45.68887621,51.54325391,16.28382556,-47.36449528,40.3,20.2,Alabama,"Marengo County, Alabama"
AL,01093,Marion,26,17,-34.61538462,0.848397833,0.561593604,-33.80539384,19.8,92.63387055,3.827657915,18.34221471,102.4776188,35.5,18.7,Alabama,"Marion County, Alabama"
AL,01095,Marshall,70,71,1.428571429,0.759112056,0.750243036,-1.168341253,20.1,83.91833926,1.493243316,14.90233178,94.87932711,33.2,12.8,Alabama,"Marshall County, Alabama"
AL,01097,Mobile,253,253,0,0.614086613,0.60945792,-0.753752502,18.4,59.05780257,34.44909344,12.91090384,-6.956642971,37.1,15.6,Alabama,"Mobile County, Alabama"
AL,01099,Monroe,10,9,-10,0.430700319,0.410078826,-4.787898118,28.6,54.71215537,41.53372637,15.6840645,,35.3,17.8,Alabama,"Monroe County, Alabama"
AL,01101,Montgomery,169,210,24.26035503,0.742507919,0.928427112,25.03935482,22.8,38.41029285,54.46737268,11.95528485,6.217293208,34.8,13.5,Alabama,"Montgomery County, Alabama"
AL,01103,Morgan,100,99,-1,0.840661096,0.827710753,-1.540495122,16.4,77.48347142,11.76583815,14.11917315,49.181068,31.6,12.6,Alabama,"Morgan County, Alabama"
AL,01105,Perry,2,1,-50,0.187090739,0.101770812,-45.60350092,40,29.66669814,68.39769616,16.70286092,0,43,21.7,Alabama,"Perry County, Alabama"
AL,01107,Pickens,6,8,33.33333333,0.302816191,0.392830837,29.72583681,24.3,55.84422161,41.37040413,16.89456092,-51.3528112,36.4,16.4,Alabama,"Pickens County, Alabama"
AL,01109,Pike,30,33,10,0.921375921,0.988349456,7.268861002,25.9,57.40903979,36.44487674,12.79978115,-2.482853634,38.4,13.5,Alabama,"Pike County, Alabama"
AL,01111,Randolph,11,9,-18.18181818,0.481105668,0.399307866,-17.00204494,18.7,75.41570288,20.09339676,16.96853315,-100,30.9,14.9,Alabama,"Randolph County, Alabama"
AL,01113,Russell,44,44,0,0.843525938,0.738155952,-12.49161186,23,52.11060117,41.41122254,12.69193722,-34.3687089,36.4,12.9,Alabama,"Russell County, Alabama"
AL,01115,St. Clair,48,49,2.083333333,0.578250551,0.5651868,-2.259185247,12.4,87.26448387,8.491141603,13.05013578,-4.253895752,33,12.8,Alabama,"St. Clair County, Alabama"
AL,01117,Shelby,128,141,10.15625,0.664217365,0.682296581,2.721882485,8.5,80.15531691,10.56257529,10.57333983,4.907454453,30.1,8.7,Alabama,"Shelby County, Alabama"
AL,01119,Sumter,7,7,0,0.509239051,0.53167249,4.405286344,33.2,24.00639395,74.71481508,14.98946451,4.405286344,40.3,20.1,Alabama,"Sumter County, Alabama"
AL,01121,Talladega,49,49,0,0.592689358,0.602542977,1.662526746,22.4,64.50158584,31.53807828,14.08537993,-100,39,15.3,Alabama,"Talladega County, Alabama"
AL,01123,Tallapoosa,24,20,-16.66666667,0.573737181,0.48584963,-15.31843395,21.7,69.29546328,26.55228758,17.28421761,-66.12737358,36.9,13.7,Alabama,"Tallapoosa County, Alabama"
AL,01125,Tuscaloosa,158,161,1.898734177,0.81953608,0.796194093,-2.848195164,20,65.04346129,29.48843087,10.81394871,1.300367931,34.3,12.3,Alabama,"Tuscaloosa County, Alabama"
AL,01127,Walker,45,41,-8.888888889,0.668181211,0.626231461,-6.278199508,20.6,90.39732629,5.796517613,16.25412172,-31.42307281,33.2,16.7,Alabama,"Walker County, Alabama"
AL,01129,Washington,4,3,-25,0.228662894,0.178210764,-22.06397766,22.4,65.15556567,24.79949946,14.73181275,-100,40.2,17.8,Alabama,"Washington County, Alabama"
AL,01131,Wilcox,6,5,-16.66666667,0.50547599,0.450531627,-10.8698264,33.2,26.64952871,72.15081405,15.01285347,0,44.9,19.3,Alabama,"Wilcox County, Alabama"
AL,01133,Winston,12,10,-16.66666667,0.486007047,0.414078675,-14.79986197,18.9,94.90687796,0.469694494,17.69727169,,30.2,13.2,Alabama,"Winston County, Alabama"
