State,County,,State_name,FIPS,group,long,lat,Age.Adjusted.Rate,FFRPTH14,FSRPTH14,RECFACPTH14,POVRATE15,Pov_num,Age.poverty,Age.Black,Age.b.p,PCT_NHWHITE10,black_num,PCT_NHBLACK10,PCT_HISP10,PCT_NHASIAN10,PCT_NHNA10,PCT_NHPI10,PCTHIGSD,Population.Estimate..2015,Population.Estimate..2016
AL,Covington,,Alabama,1039,20,-86.70569611,31.00847435,243.3,0.633011552,0.474758664,0.079126444,22.3,8398.403,20.4333145,11.36721469,31.80052919,84.07520191,4672.098106,12.40566662,1.278962002,0.391897259,0.518999073,0.002647954,14.9,"37,661","37,458"
AL,Crenshaw,,Alabama,1041,21,-86.51089478,31.53559875,255.9,0.357730557,0.429276669,0,19.9,2761.324,7.066228116,8.275826611,15.34205473,72.05522796,3234.008054,23.30648641,1.466992665,1.359125557,0.402703869,0.007191141,14.6,"13,876","13,913"
AL,Cullman,,Alabama,1043,22,-86.95780182,33.86180496,260.6,0.651994735,0.590485798,0.0369054,19.4,15880.452,41.38445791,2.178162317,43.56262023,92.73934781,835.8259081,1.021068079,4.295699326,0.421610328,0.493744248,0.022386389,15,"81,858","82,471"
AL,Dale,,Alabama,1045,23,-85.74313354,31.6158123,229.4,0.687090777,0.606256568,0.0404171,18.5,9133.45,20.9521343,21.51459931,42.46673361,71.05331237,9378.639628,18.99663688,5.61381863,1.048735349,0.67063342,0.083580426,16.1,"49,370","49,226"
AL,Dallas,,Alabama,1047,24,-86.91196442,32.66432571,304.7,0.455515332,0.359617367,0.047949,34.6,14148.978,43.11193597,86.19702956,129.3089655,28.9274304,28289.14656,69.17845733,0.705157462,0.32861707,0.178000913,0.013692378,13.8,"40,893","40,008"
AL,Elmore,,Alabama,1051,26,-86.41921997,32.41795349,275,0.555713351,0.469269052,0.0493967,14,11373.32,31.27663,44.54962314,75.82625314,74.96437714,16199.86296,19.94123804,2.684639925,0.648146981,0.339205326,0.063049317,22.2,"81,238","81,799"
AL,Escambia,,Alabama,1053,27,-86.70569611,31.00847435,231.4,0.715554024,0.530040018,0.053004,24.4,9229.788,21.35772943,27.78152529,49.13925473,61.34815627,12005.84498,31.73882408,1.873744096,0.224431744,3.324721418,0.031316057,11.6,"37,827","37,728"
AL,Etowah,,Alabama,1055,28,-85.87491608,34.20558167,254.4,0.763056476,0.550559736,0.086930485,19,19545.87,49.72469328,39.38539941,89.11009269,79.27702767,15481.68216,15.04931533,3.300775639,0.62912956,0.356219477,0.028727377,16.5,"102,873","102,564"
AL,Fayette,,Alabama,1057,29,-87.94902039,33.91910172,259.6,0.53336494,0.53336494,0,20.4,3411.492,8.856233232,4.930251951,13.78648518,86.0274926,1899.172554,11.35664985,1.183226031,0.214604721,0.272605997,0,14.1,"16,723","16,546"
AL,Franklin,,Alabama,1059,30,-88.14955139,34.5837326,239.2,0.569602228,0.506313091,0.094933705,21.1,6655.362,15.9196259,2.881910481,18.80153639,79.63979309,1204.812074,3.819707292,14.85616957,0.160862983,0.381655312,0.006308352,12.4,"31,542","31,628"
AL,Geneva,,Alabama,1061,31,-85.49676514,31.00847435,224.5,0.374363582,0.41179994,0,22.4,5993.12,13.4545544,5.656735048,19.11128945,84.70324748,2519.703807,9.417693169,3.434117208,0.23889511,0.735349011,0.029861889,11.7,"26,755","26,614"
AL,Greene,,Alabama,1063,32,-87.83442688,33.15706635,313.1,0.11691804,0.233836081,0,37.7,3185.65,9.97427015,21.49608906,31.47035921,17.26920951,6865.566611,81.24930901,0.762852405,0.165837479,0.121614151,0,10,"8,450","8,422"
AL,Hale,,Alabama,1065,33,-87.41043854,33.00236893,294.5,0.461011591,0.263435195,0.065858799,28.5,4296.375,12.65282438,26.09947855,38.75230292,39.42258883,8862.301714,58.78807107,0.888324873,0.222081218,0.145939086,0.006345178,14,"15,075","14,952"
AL,Henry,,Alabama,1067,34,-85.42800903,31.30641365,221,0.581733566,0.639906923,0,17,2922.47,6.4586587,10.79246449,17.25112319,67.80141024,4883.468095,28.40712056,2.248294995,0.260085539,0.312102647,0.011559357,16.1,"17,191","17,164"
AL,Houston,,Alabama,1069,35,-85.01548004,30.99701691,189.6,0.930964652,0.739013177,0.067183016,18.3,19073.175,36.1627398,50.66998339,86.83272319,68.66869528,26724.67479,25.64132865,2.949373197,0.793721134,0.38701291,0.042344924,21,"104,225","104,056"
AL,Jackson,,Alabama,1071,36,-86.31036377,34.99053192,281.9,0.550650337,0.474698566,0,18.4,9622.832,27.12676341,4.905313052,32.03207646,90.06143499,1740.089766,3.327258722,2.515640558,0.309993049,1.27754711,0.054483627,12.6,"52,298","52,138"
AL,Jefferson,,Alabama,1073,37,-86.56819153,33.77586365,194.8,0.971559929,0.569013292,0.105933326,18,118801.26,231.4248545,537.9514498,769.3763043,51.66751207,276155.7751,41.84134033,3.870814894,1.37972196,0.217323294,0.023387692,31.4,"660,007","659,521"
AL,Lamar,,Alabama,1075,38,-88.25269318,33.73575592,259.8,0.425954849,0.709924748,0,24.7,3433.794,8.920996812,4.054651363,12.97564817,86.11645152,1560.681818,11.22631145,1.235924197,0.027464982,0.164789893,0.006866246,13.1,"13,902","13,918"
AL,Lauderdale,,Alabama,1077,39,-88.10944366,34.89885712,202.2,0.773395205,0.751912005,0.096674401,17.3,15998.521,32.34900946,18.53567895,50.88468841,85.4588012,9167.002448,9.912737706,2.24573666,0.728084652,0.348401989,0.02480881,21.7,"92,477","92,318"
AL,Lawrence,,Alabama,1079,40,-87.52503204,34.30298233,220.3,0.477940078,0.507811333,0.0597425,18.7,6195.871,13.64950381,8.326091619,21.97559543,76.93875768,3779.433327,11.40685518,1.67156877,0.119397769,5.614607298,0.014560704,10.3,"33,133","33,244"
AL,Lee,,Alabama,1081,41,-84.98683167,32.49816513,170.4,0.82979482,0.706622152,0.0518622,21,32921.07,56.09750328,60.33003402,116.4275373,69.80541473,35404.94954,22.58444031,3.259249752,2.577595243,0.283072009,0.04705983,34.4,"156,767","158,991"
AL,Limestone,,Alabama,1083,42,-87.20417023,35.00199127,219.5,0.561754436,0.429576922,0.066088757,14.3,13101.946,28.75877147,25.14425239,53.90302386,78.65478002,11455.24027,12.50271798,5.545891619,1.100480781,0.588292141,0.031407794,23.3,"91,622","92,753"
AL,Macon,,Alabama,1087,44,-85.44519806,32.42368317,266.2,0.463320463,0.102960103,0,32.2,6187.23,16.47040626,42.03950533,58.50991159,15.22934924,15792.45129,82.18814097,1.081484244,0.354279321,0.13052396,0.00932314,20,"19,215","18,963"
AL,Madison,,Alabama,1089,45,-86.78018951,34.54935455,194.3,0.942052361,0.645163132,0.139880502,13.3,46989.166,91.29994954,163.0343684,254.3343179,66.14030005,83908.57867,23.74981706,4.600804633,2.439286642,0.697408389,0.095874986,40.7,"353,302","356,967"
AL,Marengo,,Alabama,1091,46,-87.46200562,32.27471161,319.8,0.94480358,0.447538538,0.0497265,23.3,4639.496,14.83710821,32.82201011,47.65911832,45.68887621,10263.29272,51.54325391,1.674038141,0.252056879,0.147429495,0.042802112,14.8,"19,912","19,673"
AL,Marion,,Alabama,1093,47,-87.94902039,33.91910172,281.8,0.561593604,0.660698358,0.066069836,19.8,5968.71,16.81982478,3.251542194,20.07136697,92.63387055,1153.847478,3.827657915,2.053548219,0.172212113,0.305432805,0.022744996,12.5,"30,145","29,998"
AL,Marshall,,Alabama,1095,48,-86.06971741,34.46340942,243.1,0.750243036,0.6340082,0.0422672,20.1,19033.293,46.26993528,3.437426447,49.70736173,83.91833926,1413.996893,1.493243316,12.08140272,0.510648362,0.612778035,0.067728099,16.6,"94,693","95,157"
AL,Mobile,,Alabama,1097,49,-87.97193909,31.16890526,223.5,0.60945792,0.522736635,0.072267738,18.4,76292.656,170.5140862,319.2421569,489.7562431,59.05780257,142837.6541,34.44909344,2.405857741,1.817710755,0.857401596,0.038015264,22.5,"414,634","414,836"
AL,Monroe,,Alabama,1099,50,-87.49065399,31.83353424,211.8,0.410078826,0.45564314,0.0455643,28.6,6205.342,13.14291436,19.08651079,32.22942515,54.71215537,9011.57261,41.53372637,0.953702098,0.290445639,1.109762441,0.017340038,12.4,"21,697","21,530"
AL,Montgomery,,Alabama,1101,51,-86.40776825,32.05698776,169.4,0.928427112,0.623372489,0.084000548,22.8,51725.904,87.62368138,209.3259522,296.9496335,38.41029285,123569.0391,54.46737268,3.624821789,2.089264615,0.226714858,0.036623169,31.5,"226,868","226,349"
AL,Morgan,,Alabama,1103,52,-86.57965851,34.30871201,245.3,0.827710753,0.560167883,0.075246432,16.4,19579.468,48.028435,34.45699956,82.48543457,77.48347142,14046.88119,11.76583815,7.662565905,0.556531927,0.776634028,0.057745418,21.4,"119,387","119,012"
AL,Perry,,Alabama,1105,53,-87.02082825,32.83620834,171.8,0.101770812,0.610624873,0,40,3873.2,6.6541576,11.37822624,18.03238384,29.66669814,6622.948919,68.39769616,1.07638561,0.283259371,0.160513644,0.047209895,14.5,"9,683","9,574"
AL,Pickens,,Alabama,1107,54,-87.83442688,33.51802826,233.7,0.392830837,0.294623128,0.0491039,24.3,5060.961,11.82746586,20.13609228,31.96355813,55.84422161,8616.214068,41.37040413,1.585131166,0.162058138,0.141800871,0.005064317,11.1,"20,827","20,324"
AL,Pike,,Alabama,1109,55,-85.99523926,32.05698776,222.2,0.988349456,0.658899638,0.0599,25.9,8644.384,19.20782125,27.02805706,46.23587831,57.40903979,12163.84206,36.44487674,2.218912429,1.960545913,0.562327122,0.018237636,24,"33,376","33,286"
AL,Randolph,,Alabama,1111,56,-85.59416199,33.10549927,351.1,0.399307866,0.310572785,0,18.7,4245.461,14.90581357,16.01649338,30.92230695,75.41570288,4561.803866,20.09339676,2.832453193,0.235674071,0.366604111,0.021821673,15.4,"22,703","22,652"
AL,Russell,,Alabama,1113,57,-85.43946838,32.24033356,199.1,0.738155952,0.352301704,0.0503288,23,13537.34,26.95284394,48.52827037,75.48111431,52.11060117,24373.81736,41.41122254,3.675373487,0.421175893,0.356960734,0.211532287,17,"58,858","58,172"
AL,Shelby,,Alabama,1117,59,-86.4822464,33.11122894,155.1,0.682296581,0.638745736,0.130652537,8.5,17724.795,27.49115705,34.16204895,61.653206,80.15531691,22025.82137,10.56257529,5.929210344,1.896096573,0.234769459,0.031781019,41.4,"208,527","210,622"
AL,Sumter,,Alabama,1119,60,-87.84015656,32.53827286,199.7,0.53167249,0.455719277,0.075953213,33.2,4397.008,8.780824976,19.76077453,28.5415995,24.00639395,9895.230109,74.71481508,0.624863765,0.239773305,0.079924435,0.007265858,18.1,"13,244","13,040"
AL,Talladega,,Alabama,1121,61,-86.3733902,33.39770889,273.1,0.602542977,0.454981432,0,22.4,18087.776,49.39771626,69.54951081,118.9472271,64.50158584,25466.68283,31.53807828,2.030598729,0.399800707,0.279495935,0.007291198,13.1,"80,749","80,103"
AL,Tallapoosa,,Alabama,1123,62,-85.64572906,33.11122894,246.1,0.48584963,0.412972185,0.0242925,21.7,8843.835,21.76467794,26.631428,48.39610594,69.29546328,10821.3848,26.55228758,2.503844675,0.473375625,0.285947712,0.004805844,17.3,"40,755","40,727"
AL,Tuscaloosa,,Alabama,1125,63,-87.06093597,33.24874115,227.6,0.796194093,0.543983542,0.084070184,20,40864.2,93.0069192,137.1314054,230.1383246,65.04346129,60251.05684,29.48843087,3.056160612,1.177975506,0.233745685,0.039043235,29.4,"204,321","206,102"
AL,Walker,,Alabama,1127,64,-87.11250305,33.99931717,434.3,0.626231461,0.519313895,0.0610958,20.6,13449.946,58.41311548,16.43653654,74.84965202,90.39732629,3784.604315,5.796517613,1.950076839,0.283484774,0.347641854,0.038792653,10.5,"65,291","64,967"
AL,Washington,,Alabama,1129,65,-88.45322418,31.43246651,234.8,0.178210764,0.356421528,0,22.4,3785.824,8.889114752,9.841321272,18.73043602,65.15556567,4191.363404,24.79949946,0.858881747,0.102383255,7.929014277,0.051191627,9.6,"16,901","16,756"
AL,Wilcox,,Alabama,1131,66,-86.90624237,32.05698776,335.7,0.450531627,0.450531627,0,33.2,3661.96,12.29319972,26.71579419,39.00899391,26.64952871,7958.23479,72.15081405,0.616966581,0.034275921,0.119965724,0.00856898,11.3,"11,030","10,986"
AL,Winston,,Alabama,1133,67,-87.6281662,34.30871201,277.1,0.414078675,0.621118012,0.0414079,18.9,4508.406,12.49279303,0.310465402,12.80325843,94.90687796,112.0409246,0.469694494,2.609867669,0.240973697,0.567717693,0.0326744,13.1,"23,854","23,805"
AZ,Apache,,Arizona,4001,68,-109.0453262,35.99893951,176.9,0.222754358,0.250598652,0,38,27205.72,48.12691868,0.278028139,48.40494682,20.36969714,157.1668395,0.219525155,5.750999748,0.258676137,71.81408876,0.033557985,11.1,"71,594","73,112"
AZ,Cochise,,Arizona,4003,69,-110.4662628,31.74186325,169.6,0.478626577,0.753248384,0.062770699,16.9,21360.755,36.22784048,8.055899542,44.28374002,58.47532471,4749.940768,3.758013187,32.3900233,1.834848416,0.752973064,0.28855085,23.2,"126,395","125,770"
AZ,Coconino,,Arizona,4005,70,-111.3199692,37.00161362,143.2,0.871573626,1.176624395,0.065368022,19.5,27119.82,38.83558224,2.214977302,41.05055954,55.22277025,1546.771859,1.112177413,13.51425744,1.329405376,26.49139643,0.10266253,34.2,"139,076","140,908"
AZ,Gila,,Arizona,4007,71,-110.752739,34.2628746,184,0.640072291,1.035411058,0.0188257,21.3,11318.394,20.82584496,0.355727269,21.18157223,65.8581637,193.3300374,0.363826334,17.88906095,0.477638674,14.20788477,0.063436386,17.7,"53,138","53,556"
AZ,Graham,,Arizona,4009,72,-110.0136261,33.58678436,134.8,0.421529626,0.316147219,0.0263456,22.9,8627.117,11.62935372,0.863669214,12.49302293,52.34551316,640.7041644,1.700698549,30.41375605,0.51853842,13.63245567,0.131649651,13.3,"37,673","37,599"
AZ,Maricopa,,Arizona,4013,74,-112.2080536,32.50962448,137.9,0.68041841,0.583285684,0.078538047,16.3,678346.831,935.4402799,266.8497988,1202.290079,58.68447312,193509.6438,4.649844372,29.57051094,3.361201661,1.552270994,0.17612769,31,"4,161,637","4,242,997"
AZ,Mohave,,Arizona,4015,75,-114.6373901,35.0191803,224.2,0.560579462,0.634339918,0.068843092,17.4,35524.71,79.64639982,3.921455796,83.56785562,79.61495809,1749.088223,0.856703266,14.77076319,1.007063431,1.894737894,0.157853197,11.9,"204,165","205,249"
AZ,Navajo,,Arizona,4017,76,-110.0136261,33.58678436,121.5,0.499532844,0.721547442,0.0185012,28.1,30450.003,36.99675365,1.031732262,38.02848591,43.91013411,849.1623556,0.783627581,10.76882986,0.504425355,42.39313535,0.063285838,14.5,"108,363","110,026"
AZ,Pima,,Arizona,4019,77,-113.3367767,32.51535416,137.6,0.608253129,0.648073301,0.116474003,18.7,188534.335,259.423245,43.97803369,303.4012787,55.26068004,31960.7803,3.170067625,34.56235724,2.508714498,2.403232602,0.136289955,30.8,"1,008,205","1,016,206"
AZ,Pinal,,Arizona,4021,78,-110.4605331,33.20290375,125.4,0.286128016,0.271199598,0.0223926,15.8,64182.76,80.48518104,21.69934769,102.1845287,58.67578572,17304.10501,4.259786572,28.46874418,1.627059105,4.633153259,0.396253027,18.5,"406,220","418,540"
AZ,Yavapai,,Arizona,4025,80,-111.5606155,34.44049454,142.4,0.584891521,0.936740326,0.114236625,15.1,33459.184,47.64587802,1.650695959,49.29657398,81.96253666,1159.196601,0.523140931,13.61303682,0.806982794,1.326332848,0.086242436,25.5,"221,584","225,562"
AZ,Yuma,,Arizona,4027,81,-113.3310547,33.37479019,121.4,0.575654253,0.37884938,0.039361,21.1,42981.966,52.18010672,4.003508524,56.18361525,35.26010084,3297.782969,1.61889339,59.72485453,1.042651123,0.999739465,0.104214027,14.4,"203,706","205,631"
AR,Arkansas,,Arkansas,5001,82,-91.3695755,34.57227325,228.1,0.591588685,0.645369474,0.0537808,20.7,3803.211,8.675124291,10.21112779,18.88625208,71.03948683,4476.601399,24.36510858,2.697302697,0.4837268,0.1629949,0.0105158,21.5,"18,373","18,214"
AR,Arkansas,,Arkansas,5001,82,-91.3695755,34.57227325,228.1,0.591588685,0.645369474,0.0537808,20.7,3803.211,8.675124291,10.21112779,18.88625208,71.03948683,4476.601399,24.36510858,2.697302697,0.4837268,0.1629949,0.0105158,14.4,"18,373","18,214"
AR,Ashley,,Arkansas,5003,83,-92.06285858,33.00236893,264.5,0.716058812,0.286423525,0,19.6,4078.76,10.7883202,14.15290928,24.94122948,68.18743422,5350.816364,25.71271679,4.891776873,0.18304123,0.24252963,0.009152062,13.6,"20,810","20,492"
AR,Baxter,,Arkansas,5005,84,-92.16026306,36.25676727,148.8,0.783219522,0.758743912,0.09790244,16.4,6735.48,10.02239424,0.08685514,10.10924938,95.96271048,58.37039005,0.142124154,1.657312167,0.392648086,0.52272782,0.038542143,17.7,"41,070","41,062"
AR,Benton,,Arkansas,5007,85,-93.87913513,36.29114914,167,0.660281197,0.631393895,0.103168937,10.8,27091.908,45.24348636,5.00989133,50.25337769,76.62680323,2999.934928,1.195903117,15.48891068,2.821463908,1.554177077,0.28643845,30.7,"250,851","258,291"
AR,Boone,,Arkansas,5009,86,-93.30044556,36.49741364,265.6,0.618346059,0.672115281,0.0537692,16.5,6142.785,16.31523696,0.171485634,16.48672259,95.21990082,64.56537423,0.173427635,1.826409777,0.414600439,0.669322277,0.056905943,15,"37,229","37,304"
AR,Bradley,,Arkansas,5011,87,-91.97119141,33.38625336,391,0.538213132,0.538213132,0.089702189,28,3094.84,12.1008244,11.89337569,23.99420009,58.01181787,3041.784064,27.5199861,13.17344456,0.217240181,0.130344108,0.008689607,14.2,"11,053","10,996"
AR,Calhoun,,Alabama,1015,8,-85.74313354,33.96493912,321.5,0.888574485,0.66427413,0.0603886,20,23057,74.128255,75.57428488,149.7025399,73.61350066,23506.77601,20.3901427,3.283237189,0.699996627,0.404817326,0.079276726,12,"115,285","114,611"
AR,Carroll,,Arkansas,5015,89,-93.87340546,36.49741364,253.1,0.540657439,1.838235294,0.0360438,16.6,4605.504,11.65653062,0.189327579,11.8458582,84.02681629,74.80346852,0.269620345,12.71223493,0.582962909,0.816148073,0.058296291,17.7,"27,744","27,646"
AR,Chicot,,Arkansas,5017,90,-91.46697998,33.00236893,248.2,0.447227191,0.178890877,0,31.4,3449.29,8.56113778,14.66521146,23.22634924,40.34745763,5908.626695,53.78813559,4.593220339,0.449152542,0.194915254,0.025423729,13.1,"10,985","10,945"
AR,Clark,,Arkansas,5019,91,-92.87646484,34.16547394,218.9,0.841601701,0.48724309,0.088589653,22.5,5094.45,11.15175105,11.56585657,22.71760762,70.3500761,5283.625658,23.33550772,4.026962383,0.521852577,0.365296804,0.021743857,24.7,"22,642","22,657"
AR,Clay,,Alabama,1027,14,-86.01242065,33.09404373,276.9,0.295159386,0.442739079,0,18.4,2483.08,6.87564852,5.493034557,12.36868308,80.2899799,1983.761126,14.69997129,2.863910422,0.165087568,0.39477462,0,11.3,"13,495","13,492"
AR,Cleburne,,Alabama,1029,15,-85.34779358,33.66127014,286.8,0.530503979,0.132625995,0.066312997,18.9,2834.244,8.128611792,1.419063107,9.547674899,93.21399947,494.7918782,3.299492386,2.050494256,0.153620091,0.333956719,0.006679134,15.4,"14,996","14,924"
AR,Cleveland,,North Carolina,5025,94,-92.33215332,33.69564819,186.7,0.118357202,0.118357202,0,18.1,1502.119,2.804456173,1.877710594,4.682166767,85.09609852,1005.736794,12.11877086,1.668776614,0.115088042,0.264702497,0.011508804,15.7,"8,299","8,241"
AR,Columbia,,Arkansas,5027,95,-92.99105072,33.01955795,208.1,0.919232858,0.334266494,0.083566623,23.8,5745.32,11.95601092,18.42699055,30.38300147,59.24160964,8854.872922,36.68132942,2.170902574,0.696480938,0.252525253,0.012218964,21.9,"24,140","23,901"
AR,Conway,,Arkansas,5029,96,-92.93375397,35.16241837,232.9,0.33202106,0.569178959,0.0474316,17.8,3736.932,8.703314628,5.461128276,14.1644429,82.41902882,2344.838247,11.16908758,3.558501387,0.357260377,0.691016782,0.018803178,16.9,"20,994","20,937"
AR,Craighead,,Arkansas,5031,97,-90.29814911,35.99893951,245.8,0.741333229,0.682806922,0.078035077,17.3,18054.626,44.37827071,33.41807954,77.79635024,79.59105378,13595.63854,13.02738405,4.434743838,1.107389857,0.293437575,0.023848283,25.4,"104,362","105,835"
AR,Crawford,,Arkansas,5033,98,-94.48074341,35.65516663,190.6,0.453830818,0.486247305,0.081041218,14.4,8912.736,16.98767482,1.325419626,18.31309444,86.79860528,695.3932978,1.123522955,6.069606767,1.410860722,2.148576225,0.030670885,13.6,"61,894","62,267"
AR,Crittenden,,Arkansas,5035,99,-90.29241943,35.43743896,220.2,0.686203278,0.403648987,0.0403649,25.9,12687.115,27.93702723,54.99625882,82.93328605,45.2398727,24975.59438,50.98620879,1.99206318,0.591332364,0.235747122,0.011787356,17.4,"48,985","49,235"
AR,Cross,,Arkansas,5037,100,-91.04872131,35.34576797,236.2,0.696580949,0.406338887,0.0580484,21.5,3715.63,8.77631806,9.059454567,17.83577263,74.66703973,3835.50151,22.19362059,1.48852826,0.464465585,0.257414661,0.016787913,14.7,"17,282","17,037"
AR,Dallas,,Alabama,1047,24,-86.91196442,32.66432571,304.7,0.455515332,0.359617367,0.047949,34.6,14148.978,43.11193597,86.19702956,129.3089655,28.9274304,28289.14656,69.17845733,0.705157462,0.32861707,0.178000913,0.013692378,12.7,"40,893","40,008"
AR,Desha,,Arkansas,5041,102,-90.94558716,34.12536621,463.9,0.733855186,0.896934116,0,30.9,3710.163,17.21144616,26.44573503,43.65718118,46.76353014,5700.740467,47.47847478,4.443419434,0.330565806,0.261377614,0.015375154,13.2,"12,007","11,876"
AR,Drew,,Arkansas,5043,103,-91.45552063,33.55241013,202.1,0.805498872,0.698099023,0,21.2,3959.1,8.0013411,10.47906625,18.48040735,68.00475444,5185.089685,27.76487114,2.45286077,0.491652709,0.226916635,0.016208331,19.8,"18,675","18,651"
AR,Faulkner,,Arkansas,5045,104,-92.11442566,35.0650177,165.5,0.654146794,0.579623741,0.0414017,14.8,17958.764,29.72175442,20.38606227,50.10781669,82.41652463,12317.8624,10.15127564,3.916564374,1.118009131,0.54045939,0.03709035,29.1,"121,343","122,227"
